Firstname,Lastname,Email,Salary,Department
Robert,Lucas,lucas-robert@gmail.com,7215.77,Human Resources
Maxwell,Spencer,m-spencer6299@gmail.com,7619.43,Payroll
Tanisha,Nguyen,t_nguyen3161@gmail.com,7463.84,Finances
Brady,Santos,santos_brady4566@gmail.com,11866.20,Human Resources
Iona,Singh,iona.singh1501@gmail.com,10380.32,Finances
Curran,Estrada,curranestrada40@gmail.com,11183.46,Asset Management
Wing,Hansen,h-wing7822@gmail.com,5533.64,Asset Management
Wylie,Webb,webbwylie5757@gmail.com,6570.73,Legal Department
Lisandra,Sanchez,lisandrasanchez5596@gmail.com,9615.18,Asset Management
Armando,Jenkins,a.jenkins@gmail.com,7688.62,Customer Relations
Paki,Ryan,p_ryan@gmail.com,8686.06,Sales and Marketing
Kitra,Moreno,kitra_moreno7805@gmail.com,5221.67,Customer Service
Hu,Lopez,hulopez8410@gmail.com,10596.44,Advertising
George,Robinson,georgerobinson@gmail.com,4779.37,Payroll
Emerald,Myers,emeraldmyers@gmail.com,7809.70,Asset Management
Dominic,Reyes,rdominic@gmail.com,9854.91,Customer Relations
Brenden,Parker,p_brenden@gmail.com,4216.63,Finances
Vielka,Scott,v.scott@gmail.com,6383.02,Finances
Philip,Padilla,p-padilla@gmail.com,7619.14,Payroll
Keith,Johnson,kjohnson@gmail.com,4865.32,Advertising
Elvis,Adams,a-elvis@gmail.com,12261.38,Asset Management
Miriam,Watkins,m_watkins2504@gmail.com,6936.99,Sales and Marketing
Isabelle,Tucker,tucker-isabelle@gmail.com,7060.17,Finances
Aurora,Kim,aurora-kim6528@gmail.com,9026.93,Human Resources
Noelani,Vazquez,vazquez-noelani@gmail.com,9130.87,Legal Department
Nell,Wright,w_nell1033@gmail.com,5727.72,Asset Management
Luke,Chavez,chavezluke5966@gmail.com,6105.87,Payroll
Giacomo,Sandoval,s_giacomo927@gmail.com,7931.83,Tech Support
Nehru,Brooks,nehru_brooks4518@gmail.com,5712.48,Tech Support
Chaney,Patel,c_patel1817@gmail.com,4670.11,Customer Relations
Leandra,Schmidt,l-schmidt8305@gmail.com,3750.97,Asset Management
Eagan,Daniels,eagan.daniels@gmail.com,8164.72,Asset Management
Liberty,Gilbert,l-gilbert@gmail.com,7437.22,Customer Relations
Holmes,Patterson,h-patterson3217@gmail.com,11132.45,Customer Service
Ivan,Salazar,ivan.salazar@gmail.com,8365.70,Human Resources
Mollie,Gordon,g-mollie1942@gmail.com,3788.37,Finances
Tanek,Carroll,tcarroll4163@gmail.com,6598.60,Payroll
Kaseem,Hudson,hudson_kaseem@gmail.com,9433.76,Legal Department
Rebekah,Dean,rebekah-dean@gmail.com,7166.24,Customer Relations
Colette,Mills,c_mills@gmail.com,5269.26,Legal Department
Ariel,Matthews,arielmatthews7845@gmail.com,6746.22,Media Relations
Haley,Cox,h.cox@gmail.com,7966.23,Tech Support
Kaitlin,Cruz,k.cruz@gmail.com,7583.72,Human Resources
Cassidy,Morris,cassidy.morris@gmail.com,8363.93,Finances
Summer,Tucker,tucker.summer@gmail.com,9650.46,Customer Service
Marvin,Romero,romero.marvin5850@gmail.com,8232.87,Tech Support
Hashim,Hughes,h-hughes@gmail.com,3702.63,Advertising
Ryan,Nelson,r.nelson1922@gmail.com,5640.50,Asset Management
Hiram,Dominguez,dominguez-hiram@gmail.com,9064.15,Human Resources
Chadwick,White,c.white96@gmail.com,8935.94,Media Relations
Jonas,Richardson,j-richardson455@gmail.com,10281.08,Legal Department
Timon,Welch,welchtimon@gmail.com,9358.06,Legal Department
Brendan,Hill,hill-brendan@gmail.com,4592.22,Sales and Marketing
Gray,Smith,s-gray@gmail.com,6390.72,Asset Management
Bell,Rivera,riverabell5079@gmail.com,14169.96,Human Resources
Astra,Gardner,a.gardner6157@gmail.com,10856.99,Payroll
Ferris,Reed,rferris4190@gmail.com,4909.89,Legal Department
Maya,Garza,g-maya3575@gmail.com,7005.39,Payroll
Ori,Lopez,olopez@gmail.com,10177.85,Customer Relations
Zeus,Pierce,z-pierce@gmail.com,6830.65,Asset Management
Noble,Butler,butler_noble@gmail.com,9099.66,Payroll
Amanda,Reed,r_amanda@gmail.com,10748.46,Asset Management
Zephania,Watkins,wzephania8832@gmail.com,8953.01,Customer Service
Danielle,Harrison,harrison_danielle@gmail.com,8188.05,Advertising
Lucas,Hunt,l.hunt@gmail.com,2302.89,Payroll
Larissa,Hill,larissa_hill6093@gmail.com,9425.64,Customer Relations
Burton,Marquez,bmarquez@gmail.com,8068.86,Tech Support
Idola,Guerrero,iguerrero7278@gmail.com,11678.72,Asset Management
Kay,Lawrence,l.kay5954@gmail.com,8543.42,Legal Department
Alden,Davis,alden.davis@gmail.com,10702.68,Tech Support
MacKenzie,Stewart,stewart.mackenzie4571@gmail.com,8521.75,Payroll
Hu,Diaz,diaz-hu3134@gmail.com,7356.58,Customer Service
Kylie,Smith,k.smith3174@gmail.com,6735.63,Payroll
Ashton,Perez,a_perez@gmail.com,8707.75,Customer Service
Tiger,Kennedy,kennedy_tiger6483@gmail.com,5467.39,Customer Service
Quentin,Santos,quentin.santos6341@gmail.com,8293.50,Legal Department
Callie,Sims,csims4247@gmail.com,5940.47,Tech Support
Jane,Dunn,d_jane@gmail.com,8005.51,Advertising
Alden,Sims,sims-alden7872@gmail.com,10176.84,Advertising
Teegan,Phillips,phillipsteegan@gmail.com,10483.53,Tech Support
Daphne,Tucker,tuckerdaphne@gmail.com,5573.85,Asset Management
David,Henry,d.henry@gmail.com,9400.90,Finances
Dominic,Burke,dominicburke@gmail.com,6844.81,Customer Relations
Kenneth,Santos,k.santos@gmail.com,5443.99,Customer Service
Jarrod,Black,j_black@gmail.com,10534.52,Media Relations
Nelle,Moreno,moreno_nelle8005@gmail.com,10152.79,Asset Management
Sarah,Richardson,s-richardson9812@gmail.com,8528.60,Legal Department
Eagan,Walker,walkereagan1869@gmail.com,8856.23,Asset Management
Callum,Lawson,l-callum7307@gmail.com,10560.37,Payroll
Hu,Yang,hu.yang9326@gmail.com,4197.97,Customer Service
Halee,Riley,h-riley@gmail.com,9587.14,Payroll
Keane,Moreno,kmoreno@gmail.com,9299.35,Payroll
Nissim,Wheeler,wheeler.nissim@gmail.com,7950.99,Payroll
Ross,Singh,singh_ross7348@gmail.com,7511.12,Customer Service
Jeremy,Hoffman,jeremy_hoffman@gmail.com,9564.35,Legal Department
Yuli,Yang,y_yuli@gmail.com,4707.85,Finances
Bertha,Contreras,cbertha3004@gmail.com,7736.49,Asset Management
Risa,Le,l.risa@gmail.com,5746.79,Asset Management
Illana,Tucker,tucker-illana@gmail.com,9641.38,Payroll
Alexis,Austin,a-austin9796@gmail.com,4594.82,Media Relations
Norman,Lane,lane-norman8823@gmail.com,6869.12,Payroll
Tyler,Carter,tcarter@gmail.com,11392.03,Media Relations
Quin,Obrien,obrien-quin@gmail.com,17687.92,Customer Relations
Sheila,Sullivan,s_sheila@gmail.com,8533.51,Legal Department
Jeremy,Hansen,h.jeremy@gmail.com,5545.92,Tech Support
Imogene,Fisher,i-fisher6954@gmail.com,10630.60,Asset Management
Hamilton,Rogers,h.rogers4479@gmail.com,9714.11,Asset Management
Keefe,Armstrong,k.armstrong@gmail.com,7597.70,Payroll
Jescie,Nunez,j_nunez4448@gmail.com,7115.69,Human Resources
Preston,Wong,wongpreston814@gmail.com,5409.04,Legal Department
Price,Long,longprice@gmail.com,12177.04,Human Resources
Lucian,Harrison,harrison-lucian6997@gmail.com,7670.18,Customer Service
Carl,Meyer,meyer_carl9435@gmail.com,9846.01,Advertising
Renee,Watson,wrenee@gmail.com,6895.74,Advertising
Jasper,Spencer,s.jasper7688@gmail.com,4516.25,Sales and Marketing
Tyler,Estrada,e-tyler@gmail.com,6148.01,Finances
Willow,Espinoza,e_willow3170@gmail.com,5206.83,Customer Relations
Igor,Reyes,reyes_igor901@gmail.com,9918.02,Legal Department
Herman,Kim,h.kim@gmail.com,7381.91,Asset Management
Octavia,Peters,o-peters@gmail.com,7399.94,Asset Management
